"Title";"ItemType";"Size";"ItemState";"DirName";"DeletedByName";"DeletedDate";"Id"
"ANTMDIX-V220-ET04-LR028-V220-20-1_IS1.pcf";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/14/2023 10:20:59 PM";"e340754e-24ee-42c0-bf27-4075ccdc44c3"
"ANTMDIX-V220-ET04-LR028-V220-20-1_IS1.pcf";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/14/2023 10:18:36 PM";"82b04f7d-ea60-4de7-ae59-1e0bd9fe709c"
"ANTMDIX-V220-ET04-LR026-V220-20-1_IS0.sha";"ListItem";"1004";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/2/2023 9:58:05 PM";"7db05f12-b28f-4f49-81ac-7b3b279599d9"
"ANTMDIX-V220-ET04-LR026-V220-20-1_IS0.sha";"ListItem";"940";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/2/2023 9:52:04 PM";"17a35aef-3907-4cfe-a9d1-d1b01430dff7"
"ANTMDIX-V220-ET04-LR026-V220-20-1_IS0.pcf";"ListItem";"1004";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/2/2023 9:58:17 PM";"f1e69878-aed8-4470-83fc-204f3cd4708b"
"ANTMDIX-V220-ET04-LR026-V220-20-1_IS0.pcf";"ListItem";"940";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"9/2/2023 9:54:08 PM";"6b365eb1-e65c-4af8-b10a-130108b25949"
"ANTMDIX-V220-ET04-LR025-V220-20-1_IS1.sha";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/8/2023 5:26:21 PM";"cfb3be06-4f5a-43f1-9c12-9c05137caf45"
"ANTMDIX-V220-ET04-LR025-V220-20-1_IS1.sha";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/8/2023 5:26:07 PM";"243e18a3-ede2-4acc-a5d6-0dd50b16139d"
"ANTMDIX-V220-ET04-LR025-V220-20-1_IS1.pcf";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"10/8/2023 5:26:57 PM";"c6090d4e-b23e-418b-bfc0-9f405d129dbe"
"ANTMDIX-V220-ET04-LR024-V220-20-1_IS0.sha";"ListItem";"944";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"11/30/2023 1:49:15 PM";"54097d01-a572-4567-82d1-d7066a7e7c53"
"ANTMDIX-V220-ET04-LR024-V220-20-1_IS0.sha";"ListItem";"1008";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"11/30/2023 1:50:34 PM";"3c4f3b2e-e880-4917-b79f-ea6c379d8b66"
