"Title";"ItemType";"Size";"ItemState";"DirName";"DeletedByName";"DeletedDate";"Id"
"Z-10045-03b.pdf";"ListItem";"796";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"11/18/2023 1:17:34 AM";"22e2f05e-b272-4f45-873f-fb99eb969cc9"
"Y9762.vsd";"ListItem";"816";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"1/10/2024 4:36:28 AM";"15a7088c-8afd-4599-846f-93d8bac4e148"
"Y9762.vsd";"ListItem";"752";"FirstStageRecycleBin";"sites/4305DigitalDocuments/Lists/Registry_ImportFromStagingArea";"System Account";"1/10/2024 4:35:50 AM";"d234eece-bad7-47b3-aba8-2d02df5b9064"
"Y96271.vsd";"File";"874344";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:52:12 AM";"405123db-3a22-4d83-8504-f8841d244b8f"
"Y9627.vsd";"File";"874552";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:55:47 AM";"a2a269ea-ae19-45f7-b531-1fac24fa653f"
"Y96021.vsd";"File";"874348";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:52:16 AM";"f5302609-d223-466c-a7ad-2ab30138aaf7"
"Y9602.vsd";"File";"874557";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:56:03 AM";"740ea358-50f4-45b5-a870-1936306ef730"
"Y86051.vsd";"File";"874343";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:52:14 AM";"a5d2be86-bcc1-47d6-9604-f33ff8687548"
"Y8605.vsd";"File";"874550";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:56:16 AM";"0be93435-4b49-4e92-9f06-c4b6f85dba6e"
"Y86031.vsd";"File";"883260";"FirstStageRecycleBin";"sites/4305DigitalDocuments/StagingArea/Set_0000005422/4305-JK-DD-V32000DW1513001";"Federica Napoleoni - Engraph Italia Srl";"1/5/2024 8:52:14 AM";"d8473a42-33f3-447a-a6ee-976be0d625e6"
