"Title";"ItemType";"Size";"ItemState";"DirName";"DeletedByName";"DeletedDate";"Id"
"ZZ-SG-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:46 AM";"de9f86d0-bc65-49dd-9648-a30862f7e4d3"
"ZZ-SG-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:45 AM";"d0097ec8-1c0a-4c44-b33b-d905074464bf"
"ZZ-RP-2050-IFI-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:47 AM";"7c6093f5-53c9-4f15-8931-749674c580bd"
"ZZ-PO-2050-IFI-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:06 AM";"47775c73-e935-4913-b184-03d8cb005698"
"ZZ-PL-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:44 AM";"3bee5104-118a-4964-a2f0-7538c208b53a"
"ZZ-PL-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:44 AM";"ba735d3e-bf28-4986-bb26-8816ea865bdc"
"ZZ-PG-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:26 AM";"d408336e-02c3-4d72-80a9-7e387d512b2b"
"ZZ-PG-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:26 AM";"64a9f0f1-5594-43ae-b5dd-fcba651039c1"
"ZZ-PC-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:45 AM";"d6e1c46c-00ba-420f-b35c-df64ebb384c6"
"ZZ-PC-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:44 AM";"21e282cd-aa24-4957-869f-c91b946b84ee"
"ZZ-LR-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:08 AM";"df62c5ba-5086-47d3-9323-392f79b99780"
"ZZ-LR-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:08 AM";"05de8c8e-cd51-4ac5-ae94-1ebcdcdb65e7"
"ZZ-BP-2050-IFI-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:46 AM";"09a0d30f-94cc-4a45-b8bc-873cb551122a"
"ZZ-BP-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:45 AM";"a5f0943d-0475-43a8-8ae2-995a69751ba6"
"ZZ-BP-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:45 AM";"1a29b062-5084-4910-96fd-52a951b2609a"
"ZZ-BE-2050-IFI-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:54 AM";"c1c4b6f1-4811-41b9-a8fc-f01060e6f2a4"
"ZY-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:00 AM";"473bb125-9699-4d65-b7a5-86950cae26ff"
"ZY-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:00 AM";"e471ea88-933a-47c1-ae82-96fe38b8ee09"
"ZY-RI-2050-IFI-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:06 AM";"e5af1169-f2ed-49d7-ae06-cda138492d97"
"ZR-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:59 AM";"8b35658e-8ebb-4563-b60e-fa75b7c23a2e"
"ZR-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:59 AM";"1c018be5-9207-45bd-990b-ff2e74e0435c"
"ZP-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:59 AM";"a4892f2a-1c5f-4263-a0f8-3f238a572bca"
"ZP-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:59 AM";"1e4c1441-4e41-41ad-bdde-684032151af9"
"ZN-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:58 AM";"6fcd48a2-6b12-40ff-a729-41389db6e0c1"
"ZN-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:58 AM";"f854b777-7b77-4054-9bff-eb9d977b0914"
"ZE-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:58 AM";"7b655817-2374-4871-a820-ac19f428dc14"
"ZE-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:58 AM";"0066f51a-0537-416f-8b90-e7f4a1d54d9b"
"ZD-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:58 AM";"177c7488-b504-40af-812b-9c2cd50839ec"
"ZD-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:58 AM";"726efe3b-fa0d-443d-8049-fd3e55e2e92d"
"ZC-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:57 AM";"62ec3660-6871-4189-ad46-35cd91ee1378"
"ZC-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:57 AM";"17f60b06-6875-4d62-9674-e8d302fe6c77"
"ZB-SE-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:57 AM";"7e64f65f-e459-4f8b-8afb-ebb64331c0c2"
"ZB-SE-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:23:57 AM";"6db895a6-6dce-4217-a5b0-91e220ba956a"
"YZ-SI-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:28 AM";"2e0bb3ee-3243-43a3-b589-5280959c9206"
"YZ-SI-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:28 AM";"64a22831-51f7-4c92-b2be-2a9f9eb6a944"
"YZ-SG-2050-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:39 AM";"e3199e81-fa24-4032-a7a1-5bc10501789b"
"YZ-SG-2050-IFA-IFA";"ListItem";"244";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:24:39 AM";"4923ca1a-6772-4cf1-81b4-53c562a4af5a"
"YZ-RV-50-IFA-IFI";"ListItem";"338";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:39:08 AM";"03473180-d909-41c2-82d4-b934b6d38db3"
"YZ-RV-50-IFA-IFA";"ListItem";"236";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:39:08 AM";"00515aa3-7b59-405e-b5fa-1da91aa4ce0b"
"YZ-RV-2122-IFA-IFI";"ListItem";"346";"FirstStageRecycleBin";"sites/4355DigitalDocuments/Lists/Disciplines";"Galimberti Valeria";"11/17/2023 9:30:09 AM";"b3593510-c591-4d8c-b401-f1931a125c17"
