"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: AVDTNumber";"Trigger Property: ID_VDL";"Trigger Property: SiteUrl";"FlowRunLink";"FlowError"
"08585023240244581305130279114CU157";"Succeeded";"11/6/2023 4:01:01 PM";"11/6/2023 4:01:02 PM";"AVDT-4300-P4-TCM-7500108837-00140";"42433";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023240244581305130279114CU157";"N/A"
"08585023240197653057984681632CU159";"Succeeded";"11/6/2023 4:01:05 PM";"11/6/2023 4:01:06 PM";"AVDT-4300-P4-TCM-7500108837-00141";"42430";"https://tecnimont.sharepoint.com/sites/vdm_43P4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023240197653057984681632CU159";"N/A"
"08585023238167013167544117605CU249";"Succeeded";"11/6/2023 4:04:28 PM";"11/6/2023 4:04:29 PM";"AVDT-4300-X4-TCM-7500116006-00004";"10472";"https://tecnimont.sharepoint.com/sites/vdm_43x4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023238167013167544117605CU249";"N/A"
"08585023237139225521248356469CU254";"Succeeded";"11/6/2023 4:06:11 PM";"11/6/2023 4:06:11 PM";"AVDT-A2201-KT-7500115521-00004";"2109";"https://tecnimont.sharepoint.com/sites/vdm_A2201";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023237139225521248356469CU254";"N/A"
"08585023235304347019314007296CU187";"Succeeded";"11/6/2023 4:09:15 PM";"11/6/2023 4:09:15 PM";"AVDT-4300-X4-TCM-7500111348-00086";"10298";"https://tecnimont.sharepoint.com/sites/vdm_43x4";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023235304347019314007296CU187";"N/A"
"08585023234327179743909504533CU248";"Succeeded";"11/6/2023 4:10:52 PM";"11/6/2023 4:10:53 PM";"AVDT-4285-TCM-7500113635-00013";"1345";"https://tecnimont.sharepoint.com/sites/vdm_4285";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023234327179743909504533CU248";"N/A"
"08585023234326654718970848014CU175";"Succeeded";"11/6/2023 4:10:52 PM";"11/6/2023 4:10:53 PM";"AVDT-4285-TCM-7500113650-00012";"1427";"https://tecnimont.sharepoint.com/sites/vdm_4285";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023234326654718970848014CU175";"N/A"
"08585023234137247211459267377CU157";"Succeeded";"11/6/2023 4:11:11 PM";"11/6/2023 4:11:12 PM";"AVDT-K461-KT-7500110596-00186";"1592";"https://tecnimont.sharepoint.com/sites/vdm_K461";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023234137247211459267377CU157";"N/A"
"08585023231619473356533698125CU250";"Succeeded";"11/6/2023 4:15:23 PM";"11/6/2023 4:15:23 PM";"AVDT-K461-KT-7500110596-00187";"1592";"https://tecnimont.sharepoint.com/sites/vdm_K461";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023231619473356533698125CU250";"N/A"
"08585023230385959419380635558CU248";"Succeeded";"11/6/2023 4:17:26 PM";"11/6/2023 4:17:27 PM";"AVDT-K461-KT-7500110596-00188";"1607";"https://tecnimont.sharepoint.com/sites/vdm_K461";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/180a65e6-5246-4b25-a2f9-35da203a900b/runs/08585023230385959419380635558CU248";"N/A"
