"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: FolderToBreak";"Trigger Property: FolderToReset";"Trigger Property: Library";"Trigger Property: OwnerGroup";"Trigger Property: SiteURL";"FlowRunLink";"FlowError"
"08585007793112351846296684593CU90";"Succeeded";"11/24/2023 1:06:14 PM";"11/24/2023 1:06:15 PM";"none";"CLAUGER 4150001-IN-028_0-0/Response";"INSPNOTIFMachinery";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007793112351846296684593CU90";"N/A"
"08585007782854562423255520745CU57";"Succeeded";"11/24/2023 1:23:20 PM";"11/24/2023 1:23:21 PM";"none";"FLOWSERVE 1050.001- IN-008-0/Response";"INSPNOTIFMachinery";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007782854562423255520745CU57";"N/A"
"08585007776346140061149137082CU89";"Succeeded";"11/24/2023 1:34:10 PM";"11/24/2023 1:34:11 PM";"none";"FLOWSERVE 1050.001- IN-007-0/Response";"INSPNOTIFMachinery";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007776346140061149137082CU89";"N/A"
"08585007765438764672232732322CU211";"Succeeded";"11/24/2023 1:52:21 PM";"11/24/2023 1:52:29 PM";"Archive-00262-A";"none";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007765438764672232732322CU211";"N/A"
"08585007764676546137091641319CU88";"Succeeded";"11/24/2023 1:53:37 PM";"11/24/2023 1:53:46 PM";"Archive-00262-A/Response";"Archive-00262-A";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007764676546137091641319CU88";"N/A"
"08585007762863162789735237062CU61";"Succeeded";"11/24/2023 1:56:39 PM";"11/24/2023 1:56:40 PM";"none";"WINKELS 0610001-IN-10_0-0/Response";"INSPNOTIFStaticEQP";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007762863162789735237062CU61";"N/A"
"08585007762222109995502170967CU70";"Succeeded";"11/24/2023 1:57:43 PM";"11/24/2023 1:57:51 PM";"Archive-00263-A";"none";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007762222109995502170967CU70";"N/A"
"08585007761788056137701851291CU59";"Succeeded";"11/24/2023 1:58:26 PM";"11/24/2023 1:58:33 PM";"Archive-00263-A/Response";"Archive-00263-A";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007761788056137701851291CU59";"N/A"
"08585007752027865674151180201CU71";"Succeeded";"11/24/2023 2:14:42 PM";"11/24/2023 2:14:50 PM";"4305-IA-TQ-0139_0-0";"none";"TechnicalQuery";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007752027865674151180201CU71";"N/A"
"08585007751657221571781707486CU214";"Succeeded";"11/24/2023 2:15:19 PM";"11/24/2023 2:15:21 PM";"none";"BUHLMANN 1325.002-IN005-W-0-00/Response";"INSPNOTIFPiping";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007751657221571781707486CU214";"N/A"
"08585007751103849287911285471CU94";"Succeeded";"11/24/2023 2:16:15 PM";"11/24/2023 2:16:24 PM";"4305-IA-TQ-0139_0-0/Response";"4305-IA-TQ-0139_0-0";"TechnicalQuery";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007751103849287911285471CU94";"N/A"
"08585007748544988629639585285CU67";"Succeeded";"11/24/2023 2:20:30 PM";"11/24/2023 2:20:41 PM";"4305-IA-TQ-0140_0-0";"none";"TechnicalQuery";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007748544988629639585285CU67";"N/A"
"08585007748315814123290512832CU91";"Succeeded";"11/24/2023 2:20:53 PM";"11/24/2023 2:20:55 PM";"none";"TT 4046001-IN-03_0-0/Response";"INSPNOTIFMachinery";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007748315814123290512832CU91";"N/A"
"08585007747788373033302734251CU89";"Succeeded";"11/24/2023 2:21:46 PM";"11/24/2023 2:21:53 PM";"4305-IA-TQ-0140_0-0/Response";"4305-IA-TQ-0140_0-0";"TechnicalQuery";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007747788373033302734251CU89";"N/A"
"08585007746967208814629519349CU210";"Succeeded";"11/24/2023 2:23:08 PM";"11/24/2023 2:23:17 PM";"4305-IA-TQ-0141_0-0";"none";"TechnicalQuery";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007746967208814629519349CU210";"N/A"
"08585007746347374917001505916CU93";"Succeeded";"11/24/2023 2:24:10 PM";"11/24/2023 2:24:19 PM";"4305-IA-TQ-0141_0-0/Response";"4305-IA-TQ-0141_0-0";"TechnicalQuery";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007746347374917001505916CU93";"N/A"
"08585007745716079488765641679CU94";"Succeeded";"11/24/2023 2:25:13 PM";"11/24/2023 2:25:16 PM";"none";"TT 4046001-IN-04_0-0/Response";"INSPNOTIFMachinery";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007745716079488765641679CU94";"N/A"
"08585007739102374935242979343CU71";"Succeeded";"11/24/2023 2:36:15 PM";"11/24/2023 2:36:24 PM";"ASTRA 0710.01-IN_014_00-0";"none";"INSPNOTIFStaticEQP";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007739102374935242979343CU71";"N/A"
"08585007738665377952372128267CU89";"Succeeded";"11/24/2023 2:36:58 PM";"11/24/2023 2:37:07 PM";"ASTRA 0710.01-IN_014_00-0/Response";"ASTRA 0710.01-IN_014_00-0";"INSPNOTIFStaticEQP";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007738665377952372128267CU89";"N/A"
"08585007717668121145973070786CU88";"Succeeded";"11/24/2023 3:11:58 PM";"11/24/2023 3:12:14 PM";"TCM-APOC-OD-00614-A";"none";"OtherDocuments";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4245DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007717668121145973070786CU88";"N/A"
"08585007716859454987877552574CU60";"Succeeded";"11/24/2023 3:13:19 PM";"11/24/2023 3:13:29 PM";"TCM-APOC-OD-00614-A/Response";"TCM-APOC-OD-00614-A";"OtherDocuments";"4245DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4245DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007716859454987877552574CU60";"N/A"
"08585007716676698654443374671CU70";"Succeeded";"11/24/2023 3:13:37 PM";"11/24/2023 3:13:46 PM";"4300-XLPE-RFI-00047-A";"none";"RFI";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007716676698654443374671CU70";"N/A"
"08585007714868981274617562293CU70";"Succeeded";"11/24/2023 3:16:38 PM";"11/24/2023 3:16:47 PM";"4300-XLPE-RFI-00047-A/Response";"4300-XLPE-RFI-00047-A";"RFI";"4300 B4 XLPE Client Site Members";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007714868981274617562293CU70";"N/A"
"08585007695552141883417272040CU209";"Succeeded";"11/24/2023 3:48:50 PM";"11/24/2023 3:48:58 PM";"Archive-00373-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007695552141883417272040CU209";"N/A"
"08585007694372964156898396629CU61";"Failed";"11/24/2023 3:50:48 PM";"11/24/2023 3:50:59 PM";"Archive-00373-00/Response";"Archive-00373-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007694372964156898396629CU61";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007694097148787290830591CU58";"Succeeded";"11/24/2023 3:51:15 PM";"11/24/2023 3:51:24 PM";"KLOEPPER 4100-002 IN-03-0";"none";"INSPNOTIFMachinery";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007694097148787290830591CU58";"N/A"
"08585007693755146051061400055CU88";"Succeeded";"11/24/2023 3:51:49 PM";"11/24/2023 3:51:59 PM";"KLOEPPER 4100-002 IN-03-0/Response";"KLOEPPER 4100-002 IN-03-0";"INSPNOTIFMachinery";"4305DigitalDocumentsC Members";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007693755146051061400055CU88";"N/A"
"08585007693441131927858314408CU211";"Succeeded";"11/24/2023 3:52:21 PM";"11/24/2023 3:52:29 PM";"Archive-00374-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007693441131927858314408CU211";"N/A"
