"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: FolderToBreak";"Trigger Property: FolderToReset";"Trigger Property: Library";"Trigger Property: OwnerGroup";"Trigger Property: SiteURL";"FlowRunLink";"FlowError"
"08585008072744556643537606249CU213";"Succeeded";"11/24/2023 5:20:11 AM";"11/24/2023 5:20:12 AM";"none";"TCM-CR-PO-00124-A/Response";"CR";"none";"https://tecnimont.sharepoint.com/sites/43P4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585008072744556643537606249CU213";"N/A"
"08585008056204194765146383973CU68";"Succeeded";"11/24/2023 5:47:45 AM";"11/24/2023 5:47:46 AM";"none";"TCM-CR-UO-00068-A/Response";"CR";"none";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585008056204194765146383973CU68";"N/A"
"08585008051867474296129279375CU208";"Succeeded";"11/24/2023 5:54:58 AM";"11/24/2023 5:55:10 AM";"V-2122-TMIN00107-01-01";"none";"DeviationList";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585008051867474296129279375CU208";"N/A"
"08585008036318950756839410759CU89";"Succeeded";"11/24/2023 6:20:53 AM";"11/24/2023 6:21:01 AM";"Archive-00370-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585008036318950756839410759CU89";"N/A"
"08585008021616316515619716734CU215";"Succeeded";"11/24/2023 6:45:23 AM";"11/24/2023 6:45:25 AM";"none";"TCM-CR-UO-00075-A/Response";"CR";"none";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585008021616316515619716734CU215";"N/A"
"08585007999803456820388020920CU59";"Succeeded";"11/24/2023 7:21:45 AM";"11/24/2023 7:21:52 AM";"TCM-CR-UO-00082-A";"none";"CR";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007999803456820388020920CU59";"N/A"
"08585007994657431413053999635CU66";"Succeeded";"11/24/2023 7:30:19 AM";"11/24/2023 7:30:27 AM";"TCM-CR-UO-00082-A/Response";"TCM-CR-UO-00082-A";"CR";"4300 B4 U&O Members";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007994657431413053999635CU66";"N/A"
"08585007990807478293584980305CU208";"Succeeded";"11/24/2023 7:36:44 AM";"11/24/2023 7:36:46 AM";"none";"TCM-CR-UO-00082-A/Response";"CR";"none";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007990807478293584980305CU208";"N/A"
"08585007984918206430961654256CU61";"Succeeded";"11/24/2023 7:46:33 AM";"11/24/2023 7:46:34 AM";"none";"4300-XLPE-RFI-00046-A/Response";"RFI";"none";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007984918206430961654256CU61";"N/A"
"08585007979334193178499904679CU212";"Succeeded";"11/24/2023 7:55:52 AM";"11/24/2023 7:55:53 AM";"none";"TCM-CR-PUX-00051-A/Response";"CR";"none";"https://tecnimont.sharepoint.com/sites/4300DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007979334193178499904679CU212";"N/A"
"08585007977920549397379786144CU212";"Succeeded";"11/24/2023 7:58:13 AM";"11/24/2023 7:58:14 AM";"none";"TCM-CR-PUX-00051-A/Response";"CR";"none";"https://tecnimont.sharepoint.com/sites/4300DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007977920549397379786144CU212";"N/A"
"08585007914417229483648520129CU91";"Succeeded";"11/24/2023 9:44:03 AM";"11/24/2023 9:44:12 AM";"Archive-00370-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007914417229483648520129CU91";"N/A"
"08585007913031886005603292921CU92";"Succeeded";"11/24/2023 9:46:22 AM";"11/24/2023 9:46:24 AM";"none";"TCM-TQ-XLPE-00063-A/Response";"TechnicalQuery";"none";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007913031886005603292921CU92";"N/A"
"08585007910940562064533628968CU67";"Failed";"11/24/2023 9:49:51 AM";"11/24/2023 9:50:06 AM";"Archive-00370-00/Response";"Archive-00370-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007910940562064533628968CU67";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007892714141881644879755CU208";"Succeeded";"11/24/2023 10:20:14 AM";"11/24/2023 10:20:15 AM";"none";"TCM-TQ-XLPE-00062-A/Response";"TechnicalQuery";"none";"https://tecnimont.sharepoint.com/sites/43X4DigitalDocumentsc";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007892714141881644879755CU208";"N/A"
"08585007861447479322066513108CU61";"Succeeded";"11/24/2023 11:12:20 AM";"11/24/2023 11:12:22 AM";"none";"TCM-COV-PC-00028-A/Response";"PaymentCertificates";"none";"https://tecnimont.sharepoint.com/sites/4305DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007861447479322066513108CU61";"N/A"
"08585007861363423053355732586CU93";"Succeeded";"11/24/2023 11:12:29 AM";"11/24/2023 11:12:38 AM";"Archive-00371-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007861363423053355732586CU93";"N/A"
"08585007860645575035298617568CU70";"Failed";"11/24/2023 11:13:40 AM";"11/24/2023 11:13:54 AM";"Archive-00371-00/Response";"Archive-00371-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007860645575035298617568CU70";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007856257909368625289075CU60";"Succeeded";"11/24/2023 11:20:59 AM";"11/24/2023 11:21:08 AM";"Archive-00372-00";"none";"FTATRANSMITTALSTOOWNER";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007856257909368625289075CU60";"N/A"
"08585007855032442196023203633CU208";"Failed";"11/24/2023 11:23:02 AM";"11/24/2023 11:23:15 AM";"Archive-00372-00/Response";"Archive-00372-00";"FTATRANSMITTALSTOOWNER";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007855032442196023203633CU208";"StatusCode   : N/A
ErrorType    : ActionFailed
ErrorAction  : Action 'Get_item:_check_item_existence' failed
ErrorMessage : Unable to process template language expressions in action 'Get_item:_check_item_existence' inputs at line '0' and column '0': 'The template language expression 'outputs('Get_the_Folder')?['body/d/results'][0]['Id']' cannot be evaluated because array index '0' cannot be selected from empty array. Please see https://aka.ms/logicexpressions for usage details.'."
"08585007851918601910561157826CU70";"Succeeded";"11/24/2023 11:28:13 AM";"11/24/2023 11:28:29 AM";"2050-PICL-00019-100-0";"none";"ClarificationFromTCM";"FTAEvolutionTCMOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007851918601910561157826CU70";"N/A"
"08585007850114295048898910492CU211";"Succeeded";"11/24/2023 11:31:14 AM";"11/24/2023 11:31:30 AM";"2050-PICL-00019-100-0/Response";"2050-PICL-00019-100-0";"ClarificationFromTCM";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4355DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007850114295048898910492CU211";"N/A"
"08585007807893087013526367189CU89";"Succeeded";"11/24/2023 12:41:36 PM";"11/24/2023 12:41:43 PM";"Archive-00260-A";"none";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007807893087013526367189CU89";"N/A"
"08585007805596705793079493868CU213";"Succeeded";"11/24/2023 12:45:25 PM";"11/24/2023 12:45:37 PM";"Archive-00260-A/Response";"Archive-00260-A";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007805596705793079493868CU213";"N/A"
"08585007802512599101276667601CU93";"Succeeded";"11/24/2023 12:50:34 PM";"11/24/2023 12:50:41 PM";"Archive-00261-A";"none";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionClientOperators";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007802512599101276667601CU93";"N/A"
"08585007802090952980905597479CU68";"Succeeded";"11/24/2023 12:51:16 PM";"11/24/2023 12:51:25 PM";"Archive-00261-A/Response";"Archive-00261-A";"FTATRANSMITTALSTOCONTRACTOR";"FTAEvolutionNoResponse";"https://tecnimont.sharepoint.com/sites/4395DigitalDocumentsC";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/a43bdfb7-1352-4ecf-83bb-ccaaab03de52/runs/08585007802090952980905597479CU68";"N/A"
