"FlowRunName";"Status";"LocalStartTime";"LocalEndTime";"Trigger Property: DistributionMatrix";"Trigger Property: DocumentNumber";"Trigger Property: Message-Communication";"Trigger Property: Message-Warning";"Trigger Property: SiteURL";"Trigger Property: Transmittal";"FlowRunLink";"FlowError"
"08584986092718673678074743576CU193";"Succeeded";"12/19/2023 3:53:33 PM";"12/19/2023 3:53:41 PM";;"4300-AI-DU-126110020";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110020 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092718673678074743576CU193";"N/A"
"08584986092718017981991970526CU195";"Succeeded";"12/19/2023 3:53:33 PM";"12/19/2023 3:53:42 PM";;"4300-AI-DU-126110017";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110017 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092718017981991970526CU195";"N/A"
"08584986092716078309321853249CU36";"Succeeded";"12/19/2023 3:53:33 PM";"12/19/2023 3:53:52 PM";;"4300-AI-DU-126110012";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110012 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092716078309321853249CU36";"N/A"
"08584986092715886365622808468CU39";"Succeeded";"12/19/2023 3:53:33 PM";"12/19/2023 3:53:45 PM";;"4300-AI-DU-126110014";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110014 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092715886365622808468CU39";"N/A"
"08584986092713126479082117063CU33";"Succeeded";"12/19/2023 3:53:34 PM";"12/19/2023 3:53:40 PM";;"4300-AI-DU-126110013";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110013 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092713126479082117063CU33";"N/A"
"08584986092711178383999600546CU11";"Succeeded";"12/19/2023 3:53:34 PM";"12/19/2023 3:53:56 PM";;"4300-AI-DU-126110018";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110018 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092711178383999600546CU11";"N/A"
"08584986092182196184267768881CU33";"Succeeded";"12/19/2023 3:54:27 PM";"12/19/2023 3:54:36 PM";"DistributionMatrixClientTransmittal";"4300-AI-DU-630281014";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments/A/I/DU/4300-AI-DU-630281014/Q/CMTD/'>4300-AI-DU-630281014 - Q - STEEL DRAWING - UNIT-63 AREA-28 PIPE RACK STR.630281-PR002I ELEVATION ON ALIGNMENT 630281-PR002I/A & B- Approved for Construction - Proceed as Commented. </a>";"Document <b>4300-AI-DU-630281014</b><br /> was not found in Distribution Matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"True";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092182196184267768881CU33";"N/A"
"08584986092172497666098728991CU05";"Succeeded";"12/19/2023 3:54:28 PM";"12/19/2023 3:54:36 PM";"DistributionMatrixClientTransmittal";"4325-AA-DC-33340201";"New transmittal incoming from client: <a href='https://tecnimont.sharepoint.com/sites/4325DigitalDocuments/A/A/DC/4325-AA-DC-33340201/A/CMTD/'>4325-AA-DC-33340201 - A - CONCRETE DRAWING SECONDARY STRUCTURE 333-SS002I FOUNDATION PLAN & F/W DETAILS OF FOUNDATION- ISSUED FOR REVIEW - 1 - Approved without comments. </a>";"Document <b>4325-AA-DC-33340201</b><br /> was not found in Distribution Matrix";"https://tecnimont.sharepoint.com/sites/4325DigitalDocuments";"True";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092172497666098728991CU05";"N/A"
"08584986092161985945272608931CU06";"Succeeded";"12/19/2023 3:54:29 PM";"12/19/2023 3:54:37 PM";;"4300-AI-DU-126110019";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110019 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092161985945272608931CU06";"N/A"
"08584986092160803782746205342CU197";"Succeeded";"12/19/2023 3:54:29 PM";"12/19/2023 3:54:36 PM";;"4300-AI-DU-126110016";"New document uploaded and ready for internal workflow:";"Document 4300-AI-DU-126110016 has no related distribution matrix";"https://tecnimont.sharepoint.com/sites/43U4DigitalDocuments";"False";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/94df5bd1-eea7-414b-91e9-4f7ba5c7bf44/runs/08584986092160803782746205342CU197";"N/A"
