Timestamp;Type;ListName;ID/Doc;Action;Key;Value;OldValue
2024-01-12 16:19:34;[SUCCESS];DocumentList;4422-AA-DX-000000000020-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:37;[SUCCESS];DocumentList;4422-AA-DX-000000000021-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:39;[SUCCESS];DocumentList;4422-AA-DX-000000000026-01;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:42;[SUCCESS];DocumentList;4422-AA-DX-000000000026-02;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:44;[SUCCESS];DocumentList;4422-AA-DX-000000000027-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000184
Previous: MAIRE-TRANSMIT-000184
2024-01-12 16:19:47;[SUCCESS];DocumentList;4422-AA-DX-000000000028-01;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000156
Previous: MAIRE-TRANSMIT-000156
2024-01-12 16:19:50;[SUCCESS];DocumentList;4422-AA-DX-000000000029-01;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:53;[SUCCESS];DocumentList;4422-AA-DX-000000000030-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:56;[SUCCESS];DocumentList;4422-AA-DX-000000000031-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:19:59;[SUCCESS];DocumentList;4422-AA-DX-000000000032-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:02;[SUCCESS];DocumentList;4422-AA-DX-000000000033-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:05;[SUCCESS];DocumentList;4422-AA-DX-000000000034-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:08;[SUCCESS];DocumentList;4422-AA-DX-000000000034-02;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:11;[SUCCESS];DocumentList;4422-AA-DX-000000000034-03;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:14;[SUCCESS];DocumentList;4422-AA-DX-000000000036-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:16;[SUCCESS];DocumentList;4422-AA-DX-000000000037-01;01;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:19;[SUCCESS];DocumentList;4422-AA-DX-000000000038-01;00;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000161
Previous: MAIRE-TRANSMIT-000161
2024-01-12 16:20:22;[SUCCESS];DocumentList;4422-AA-DX-000000000039-01;B2;UPDATED
EDMS TCM Client TR Code: MAIRE-TRANSMIT-000149
Previous: MAIRE-TRANSMIT-000149
2024-01-12 16:20:25;[SUCCESS];DocumentList;4422-AA-DX-000000000040-01;00;UPDATED
