"FlowId";"DisplayName";"FlowUrl";"Status";"CreatedTime";"ModifiedTime";"SolutionId";"TriggerConnectorType";"TriggerAction";"TriggerUri"
"5b60856e-b4c3-4a68-be01-7baba10a8082";"VDM 4355 - WRITE EXCEL DATA - BATCH [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/5b60856e-b4c3-4a68-be01-7baba10a8082/details";"Stopped";"2/17/2023 1:31:15 PM";"11/16/2023 3:48:51 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"31e3ae5f-105a-4d55-8a9f-ad837d2c8525";"VDM 4355 - VALIDATE EXCEL DATA [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/31e3ae5f-105a-4d55-8a9f-ad837d2c8525/details";"Stopped";"2/17/2023 1:29:38 PM";"11/16/2023 3:48:44 PM";"N/A";"SharePoint";"GetOnUpdatedFileItems";"N/A"
"62f02ac4-638b-441b-88f4-42a7757b6ac2";"VDM 4355 - Planner Tasks Controller V2.0 [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/62f02ac4-638b-441b-88f4-42a7757b6ac2/details";"Stopped";"2/17/2023 1:30:22 PM";"11/16/2023 3:48:34 PM";"N/A";"Recurrence";"Recurrence";"N/A"
"7bb5e518-570e-4312-a862-2ac6a1f6d4d0";"VDM 4355 - Document Structure - New VDL Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/7bb5e518-570e-4312-a862-2ac6a1f6d4d0/details";"Stopped";"2/17/2023 1:29:14 PM";"11/16/2023 3:48:31 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"e5988723-9700-4a15-8952-aa0b4254de0c";"VDM 4355 - Delete Record [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/e5988723-9700-4a15-8952-aa0b4254de0c/details";"Stopped";"2/17/2023 1:30:58 PM";"11/16/2023 3:48:19 PM";"N/A";"SharePoint";"GetOnDeletedItems";"N/A"
"9e6e44a5-23fe-4d51-9df0-f114cb663631";"VDM 4346 - VDL Changes Propagation [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/9e6e44a5-23fe-4d51-9df0-f114cb663631/details";"Stopped";"5/23/2023 7:35:23 AM";"11/16/2023 3:40:57 PM";"N/A";"SharePoint";"GetOnChangedItems";"N/A"
"025be003-7619-4b31-97f3-56a49c5c0d50";"VDM 4346 - Vendor Correspondence [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/025be003-7619-4b31-97f3-56a49c5c0d50/details";"Stopped";"5/23/2023 7:34:17 AM";"11/16/2023 3:40:47 PM";"N/A";"SharePoint";"GetOnNewItems";"N/A"
"f7275ec6-62f7-4f0f-8318-44882716dbc0";"VDM 4346 - ROUTING EXCEL  [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/f7275ec6-62f7-4f0f-8318-44882716dbc0/details";"Stopped";"5/23/2023 7:35:45 AM";"11/16/2023 3:40:41 PM";"N/A";"SharePoint";"Request";"N/A"
"8a4f7c13-14a0-4e44-92ea-a3c73139b06a";"VDM 4346 - VALIDATE EXCEL DATA [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/8a4f7c13-14a0-4e44-92ea-a3c73139b06a/details";"Stopped";"5/23/2023 7:33:58 AM";"11/16/2023 3:40:38 PM";"N/A";"SharePoint";"GetOnUpdatedFileItems";"N/A"
"b3eeb038-98ed-4aea-aed3-858d6b9bda30";"VDM 4346 - Planner Tasks Controller V2.0  [TBD]";"https://make.powerautomate.com/environments/Default-7cc91888-5aa0-49e5-a836-22cda2eae0fc/flows/b3eeb038-98ed-4aea-aed3-858d6b9bda30/details";"Stopped";"5/23/2023 7:34:40 AM";"11/16/2023 3:40:27 PM";"N/A";"Recurrence";"Recurrence";"N/A"
